x	y	cluster	word
-10.849380493164062	-7.731723785400391	1	he
-3.050873279571533	-9.976330757141113	6	his
17.419029235839844	-6.822270393371582	3	her
-2.4210212230682373	-8.54919719696045	3	she
-2.6553258895874023	-8.846579551696777	1	him
21.596343994140625	-5.2546281814575195	3	girl
34.82405090332031	0.5330362915992737	3	son
16.79541778564453	-5.624442100524902	3	boy
34.01204299926758	-2.6963202953338623	3	female
20.670963287353516	-5.414731979370117	3	brother
35.991851806640625	0.4794173240661621	3	male
16.68703269958496	-5.7488532066345215	3	sister
37.32701110839844	-0.03241350129246712	3	asian
25.93692970275879	-8.6082124710083	3	american
33.381309509277344	-2.285897731781006	3	french
34.78807067871094	-1.9818356037139893	3	chinese
36.634647369384766	-0.4139793813228607	3	japanese
35.18780517578125	-1.1145442724227905	3	german
-3.4871137142181396	-8.050005912780762	3	hers
27.672466278076172	-8.792726516723633	3	canadian
34.573402404785156	-1.6695128679275513	3	italian
32.344234466552734	-2.9076616764068604	3	british
26.053791046142578	-8.765813827514648	3	european
36.69285583496094	0.4919005036354065	3	thai
36.062442779541016	-0.324901282787323	3	korean
32.296295166015625	-2.982362985610962	3	australian
-4.570651054382324	26.06665802001953	9	The
-40.86351776123047	20.732181549072266	1	one
-42.3328742980957	16.82797622680664	1	like
-39.845462799072266	17.65309715270996	1	would
-9.106847763061523	26.260351181030273	9	This
-35.18314743041992	17.980409622192383	6	time
-40.159507751464844	16.347639083862305	1	get
-34.335693359375	13.256484031677246	10	also
-1.0138715505599976	23.637981414794922	9	You
-28.79480743408203	7.518024921417236	10	new
-28.1600399017334	-5.211794853210449	1	people
-31.153522491455078	17.440982818603516	6	first
9.34255599975586	-9.379769325256348	6	said
-39.78508758544922	14.519997596740723	1	make
-40.45273208618164	8.498774528503418	1	good
-43.86154556274414	12.98095703125	1	know
-37.0688591003418	18.812143325805664	1	see
-32.55986404418945	-3.0110676288604736	10	may
-40.15160369873047	17.480758666992188	1	could
-33.37177276611328	-2.750176429748535	10	use
2.9775335788726807	22.444217681884766	9	And
-41.15664291381836	20.20100975036621	1	way
6.994620323181152	24.315168380737305	0	New
-40.93239212036133	20.56999397277832	1	well
-32.78748321533203	2.6882998943328857	7	work
-25.66965103149414	4.270277976989746	6	two
-44.4997444152832	6.768528938293457	1	think
-40.69843673706055	16.386207580566406	1	much
-13.739181518554688	-2.30893611907959	6	years
-36.18195724487305	4.697847843170166	1	many
-31.486942291259766	16.069812774658203	6	back
1.3955802917480469	25.74850082397461	9	For
-38.61689376831055	12.555916786193848	1	need
-15.522181510925293	0.11727616935968399	6	year
-41.349544525146484	19.285430908203125	1	even
-44.578392028808594	7.251311779022217	1	really
-41.216064453125	11.933415412902832	1	want
-27.4724063873291	2.1129603385925293	1	great
-20.51291275024414	4.494538307189941	6	day
